date,time,location,growth
2020-01-24,2,China,95
2020-01-24,2,India,0
2020-01-24,2,Other,3
2020-01-24,2,USA,0
2020-01-24,2,Wave 3,0
2020-01-24,2,Western Europe,0
2020-01-25,3,China,277
2020-01-25,3,India,0
2020-01-25,3,Other,6
2020-01-25,3,USA,1
2020-01-25,3,Wave 3,0
2020-01-25,3,Western Europe,1.9
2020-01-26,4,China,486
2020-01-26,4,India,0
2020-01-26,4,Other,6
2020-01-26,4,USA,0
2020-01-26,4,Wave 3,0
2020-01-26,4,Western Europe,1
2020-01-27,5,China,669
2020-01-27,5,India,0
2020-01-27,5,Other,12
2020-01-27,5,USA,3
2020-01-27,5,Wave 3,0
2020-01-27,5,Western Europe,0
2020-01-28,6,China,802
2020-01-28,6,India,0
2020-01-28,6,Other,6
2020-01-28,6,USA,0
2020-01-28,6,Wave 3,0
2020-01-28,6,Western Europe,1
2020-01-29,7,China,2632
2020-01-29,7,India,0
2020-01-29,7,Other,15
2020-01-29,7,USA,0
2020-01-29,7,Wave 3,0
2020-01-29,7,Western Europe,4
2020-01-30,8,China,578
2020-01-30,8,India,0
2020-01-30,8,Other,9
2020-01-30,8,USA,1
2020-01-30,8,Wave 3,0
2020-01-30,8,Western Europe,1
2020-01-31,9,China,2054
2020-01-31,9,India,0.9
2020-01-31,9,Other,13
2020-01-31,9,USA,0
2020-01-31,9,Wave 3,0
2020-01-31,9,Western Europe,0
2020-02-01,10,China,1661
2020-02-01,10,India,0
2020-02-01,10,Other,22
2020-02-01,10,USA,2
2020-02-01,10,Wave 3,1.9
2020-02-01,10,Western Europe,5
2020-02-02,11,China,2089
2020-02-02,11,India,0
2020-02-02,11,Other,17
2020-02-02,11,USA,0
2020-02-02,11,Wave 3,0
2020-02-02,11,Western Europe,5
2020-02-03,12,China,4739
2020-02-03,12,India,1
2020-02-03,12,Other,7
2020-02-03,12,USA,0
2020-02-03,12,Wave 3,0
2020-02-03,12,Western Europe,2
2020-02-04,13,China,3086
2020-02-04,13,India,1
2020-02-04,13,Other,2
2020-02-04,13,USA,3
2020-02-04,13,Wave 3,0
2020-02-04,13,Western Europe,8
2020-02-05,14,China,3991
2020-02-05,14,India,0
2020-02-05,14,Other,19
2020-02-05,14,USA,0
2020-02-05,14,Wave 3,0
2020-02-05,14,Western Europe,1
2020-02-06,15,China,3733
2020-02-06,15,India,0
2020-02-06,15,Other,11
2020-02-06,15,USA,0
2020-02-06,15,Wave 3,0
2020-02-06,15,Western Europe,1
2020-02-07,16,China,3147
2020-02-07,16,India,0
2020-02-07,16,Other,14
2020-02-07,16,USA,1
2020-02-07,16,Wave 3,0
2020-02-07,16,Western Europe,0
2020-02-08,17,China,3523
2020-02-08,17,India,0
2020-02-08,17,Other,69
2020-02-08,17,USA,0
2020-02-08,17,Wave 3,0
2020-02-08,17,Western Europe,2
2020-02-09,18,China,2704
2020-02-09,18,India,0
2020-02-09,18,Other,18
2020-02-09,18,USA,0
2020-02-09,18,Wave 3,0
2020-02-09,18,Western Europe,9
2020-02-10,19,China,3015
2020-02-10,19,India,0
2020-02-10,19,Other,13
2020-02-10,19,USA,0
2020-02-10,19,Wave 3,0
2020-02-10,19,Western Europe,3
2020-02-11,20,China,2525
2020-02-11,20,India,0
2020-02-11,20,Other,83
2020-02-11,20,USA,0
2020-02-11,20,Wave 3,0
2020-02-11,20,Western Europe,0
2020-02-12,21,China,2032
2020-02-12,21,India,0
2020-02-12,21,Other,6
2020-02-12,21,USA,1
2020-02-12,21,Wave 3,0
2020-02-12,21,Western Europe,3
2020-02-13,22,China,373
2020-02-13,22,India,0
2020-02-13,22,Other,44
2020-02-13,22,USA,0
2020-02-13,22,Wave 3,0
2020-02-13,22,Western Europe,1
2020-02-14,23,China,15136
2020-02-14,23,India,0
2020-02-14,23,Other,14
2020-02-14,23,USA,1
2020-02-14,23,Wave 3,0
2020-02-14,23,Western Europe,1
2020-02-15,24,China,6463
2020-02-15,24,India,0
2020-02-15,24,Other,64
2020-02-15,24,USA,0
2020-02-15,24,Wave 3,0
2020-02-15,24,Western Europe,1
2020-02-16,25,China,2055
2020-02-16,25,India,0
2020-02-16,25,Other,87
2020-02-16,25,USA,0
2020-02-16,25,Wave 3,0
2020-02-16,25,Western Europe,1
2020-02-17,26,China,2100
2020-02-17,26,India,0
2020-02-17,26,Other,83
2020-02-17,26,USA,0
2020-02-17,26,Wave 3,0
2020-02-17,26,Western Europe,0
2020-02-18,27,China,1921
2020-02-18,27,India,0
2020-02-18,27,Other,113
2020-02-18,27,USA,0
2020-02-18,27,Wave 3,0
2020-02-18,27,Western Europe,1
2020-02-19,28,China,1777
2020-02-19,28,India,0
2020-02-19,28,Other,105
2020-02-19,28,USA,0
2020-02-19,28,Wave 3,0
2020-02-19,28,Western Europe,0
2020-02-20,29,China,408
2020-02-20,29,India,0
2020-02-20,29,Other,91
2020-02-20,29,USA,0
2020-02-20,29,Wave 3,0
2020-02-20,29,Western Europe,1
2020-02-21,30,China,458
2020-02-21,30,India,0
