date,time,county,deaths,cases
2020-01-24,2,Abbeville,0,0
2020-01-24,2,Anderson,0,0
2020-01-24,2,Cherokee,0,0
2020-01-24,2,Greenville,0,0
2020-01-24,2,Greenwood,0,0
2020-01-24,2,Laurens,0,0
2020-01-24,2,Oconee,0,0
2020-01-24,2,Pickens,0,0
2020-01-24,2,Spartanburg,0,0
2020-01-24,2,Union,0,0
2020-01-25,3,Abbeville,0,0
2020-01-25,3,Anderson,0,0
2020-01-25,3,Cherokee,0,0
2020-01-25,3,Greenville,0,0
2020-01-25,3,Greenwood,0,0
2020-01-25,3,Laurens,0,0
2020-01-25,3,Oconee,0,0
2020-01-25,3,Pickens,0,0
2020-01-25,3,Spartanburg,0,0
2020-01-25,3,Union,0,0
2020-01-26,4,Abbeville,0,0
2020-01-26,4,Anderson,0,0
2020-01-26,4,Cherokee,0,0
2020-01-26,4,Greenville,0,0
2020-01-26,4,Greenwood,0,0
2020-01-26,4,Laurens,0,0
2020-01-26,4,Oconee,0,0
2020-01-26,4,Pickens,0,0
2020-01-26,4,Spartanburg,0,0
2020-01-26,4,Union,0,0
2020-01-27,5,Abbeville,0,0
2020-01-27,5,Anderson,0,0
2020-01-27,5,Cherokee,0,0
2020-01-27,5,Greenville,0,0
2020-01-27,5,Greenwood,0,0
2020-01-27,5,Laurens,0,0
2020-01-27,5,Oconee,0,0
2020-01-27,5,Pickens,0,0
2020-01-27,5,Spartanburg,0,0
2020-01-27,5,Union,0,0
2020-01-28,6,Abbeville,0,0
2020-01-28,6,Anderson,0,0
2020-01-28,6,Cherokee,0,0
2020-01-28,6,Greenville,0,0
2020-01-28,6,Greenwood,0,0
2020-01-28,6,Laurens,0,0
2020-01-28,6,Oconee,0,0
2020-01-28,6,Pickens,0,0
2020-01-28,6,Spartanburg,0,0
2020-01-28,6,Union,0,0
2020-01-29,7,Abbeville,0,0
2020-01-29,7,Anderson,0,0
2020-01-29,7,Cherokee,0,0
2020-01-29,7,Greenville,0,0
2020-01-29,7,Greenwood,0,0
2020-01-29,7,Laurens,0,0
2020-01-29,7,Oconee,0,0
2020-01-29,7,Pickens,0,0
2020-01-29,7,Spartanburg,0,0
2020-01-29,7,Union,0,0
2020-01-30,8,Abbeville,0,0
2020-01-30,8,Anderson,0,0
2020-01-30,8,Cherokee,0,0
2020-01-30,8,Greenville,0,0
2020-01-30,8,Greenwood,0,0
2020-01-30,8,Laurens,0,0
2020-01-30,8,Oconee,0,0
2020-01-30,8,Pickens,0,0
2020-01-30,8,Spartanburg,0,0
2020-01-30,8,Union,0,0
2020-01-31,9,Abbeville,0,0
2020-01-31,9,Anderson,0,0
2020-01-31,9,Cherokee,0,0
2020-01-31,9,Greenville,0,0
2020-01-31,9,Greenwood,0,0
2020-01-31,9,Laurens,0,0
2020-01-31,9,Oconee,0,0
2020-01-31,9,Pickens,0,0
2020-01-31,9,Spartanburg,0,0
2020-01-31,9,Union,0,0
2020-02-01,10,Abbeville,0,0
2020-02-01,10,Anderson,0,0
2020-02-01,10,Cherokee,0,0
2020-02-01,10,Greenville,0,0
2020-02-01,10,Greenwood,0,0
2020-02-01,10,Laurens,0,0
2020-02-01,10,Oconee,0,0
2020-02-01,10,Pickens,0,0
2020-02-01,10,Spartanburg,0,0
2020-02-01,10,Union,0,0
2020-02-02,11,Abbeville,0,0
2020-02-02,11,Anderson,0,0
2020-02-02,11,Cherokee,0,0
2020-02-02,11,Greenville,0,0
2020-02-02,11,Greenwood,0,0
2020-02-02,11,Laurens,0,0
2020-02-02,11,Oconee,0,0
2020-02-02,11,Pickens,0,0
2020-02-02,11,Spartanburg,0,0
2020-02-02,11,Union,0,0
2020-02-03,12,Abbeville,0,0
2020-02-03,12,Anderson,0,0
2020-02-03,12,Cherokee,0,0
2020-02-03,12,Greenville,0,0
2020-02-03,12,Greenwood,0,0
2020-02-03,12,Laurens,0,0
2020-02-03,12,Oconee,0,0
2020-02-03,12,Pickens,0,0
2020-02-03,12,Spartanburg,0,0
2020-02-03,12,Union,0,0
2020-02-04,13,Abbeville,0,0
2020-02-04,13,Anderson,0,0
2020-02-04,13,Cherokee,0,0
2020-02-04,13,Greenville,0,0
2020-02-04,13,Greenwood,0,0
2020-02-04,13,Laurens,0,0
2020-02-04,13,Oconee,0,0
2020-02-04,13,Pickens,0,0
2020-02-04,13,Spartanburg,0,0
2020-02-04,13,Union,0,0
2020-02-05,14,Abbeville,0,0
2020-02-05,14,Anderson,0,0
2020-02-05,14,Cherokee,0,0
2020-02-05,14,Greenville,0,0
2020-02-05,14,Greenwood,0,0
2020-02-05,14,Laurens,0,0
2020-02-05,14,Oconee,0,0
2020-02-05,14,Pickens,0,0
2020-02-05,14,Spartanburg,0,0
2020-02-05,14,Union,0,0
2020-02-06,15,Abbeville,0,0
2020-02-06,15,Anderson,0,0
2020-02-06,15,Cherokee,0,0
2020-02-06,15,Greenville,0,0
2020-02-06,15,Greenwood,0,0
2020-02-06,15,Laurens,0,0
2020-02-06,15,Oconee,0,0
2020-02-06,15,Pickens,0,0
2020-02-06,15,Spartanburg,0,0
2020-02-06,15,Union,0,0
2020-02-07,16,Abbeville,0,0
2020-02-07,16,Anderson,0,0
2020-02-07,16,Cherokee,0,0
2020-02-07,16,Greenville,0,0
2020-02-07,16,Greenwood,0,0
2020-02-07,16,Laurens,0,0
2020-02-07,16,Oconee,0,0
2020-02-07,16,Pickens,0,0
2020-02-07,16,Spartanburg,0,0
2020-02-07,16,Union,0,0
2020-02-08,17,Abbeville,0,0
2020-02-08,17,Anderson,0,0
2020-02-08,17,Cherokee,0,0
2020-02-08,17,Greenville,0,0
2020-02-08,17,Greenwood,0,0
2020-02-08,17,Laurens,0,0
2020-02-08,17,Oconee,0,0
2020-02-08,17,Pickens,0,0
2020-02-08,17,Spartanburg,0,0
2020-02-08,17,Union,0,0
2020-02-09,18,Abbeville,0,0
2020-02-09,18,Anderson,0,0
2020-02-09,18,Cherokee,0,0
2020-02-09,18,Greenville,0,0
2020-02-09,18,Greenwood,0,0
2020-02-09,18,Laurens,0,0
2020-02-09,18,Oconee,0,0
2020-02-09,18,Pickens,0,0
2020-02-09,18,Spartanburg,0,0
2020-02-09,18,Union,0,0
2020-02-10,19,Abbeville,0,0
2020-02-10,19,Anderson,0,0
2020-02-10,19,Cherokee,0,0
2020-02-10,19,Greenville,0,0
2020-02-10,19,Greenwood,0,0
2020-02-10,19,Laurens,0,0
2020-02-10,19,Oconee,0,0
2020-02-10,19,Pickens,0,0
2020-02-10,19,Spartanburg,0,0
2020-02-10,19,Union,0,0
2020-02-11,20,Abbeville,0,0
2020-02-11,20,Anderson,0,0
2020-02-11,20,Cherokee,0,0
2020-02-11,20,Greenville,0,0
2020-02-11,20,Greenwood,0,0
2020-02-11,20,Laurens,0,0
2020-02-11,20,Oconee,0,0
2020-02-11,20,Pickens,0,0
2020-02-11,20,Spartanburg,0,0
2020-02-11,20,Union,0,0
2020-02-12,21,Abbeville,0,0
2020-02-12,21,Anderson,0,0
2020-02-12,21,Cherokee,0,0
2020-02-12,21,Greenville,0,0
2020-02-12,21,Greenwood,0,0
2020-02-12,21,Laurens,0,0
2020-02-12,21,Oconee,0,0
2020-02-12,21,Pickens,0,0
2020-02-12,21,Spartanburg,0,0
