country,population
Abkhazia,245246
Afghanistan,32890171
Albania,2845955
Algeria,43900000
American,56700
Andorra,77543
Angola,31127674
Anguilla,14869
Antigua,97895
Argentina,45376763
Armenia,2963000
Aruba,112269
Australia,25676306
Austria,8915382
Azerbaijan,10095900
Bahamas,389410
Bahrain,1503091
Bangladesh,169429608
Barbados,287025
Belarus,9408400
Belgium,11535652
Belize,419199
Benin,12114193
Bermuda,64054
Bhutan,748931
Bolivia,11633371
Bosnia,3332593
Botswana,2374698
Brazil,212166357
British,30030
Brunei,459500
Bulgaria,6951482
Burkina,21510181
Burundi,12309600
Cambodia,15288489
Cameroon,24348251
Canada,38198997
Cape,556857
Cayman,69914
Central,5633412
Chad,16244513
Chile,19458310
China,1404759920
Christmas,1955
Cocos,555
Colombia,50372424
Comoros,758316
Congo,5518092
Cook,15200
Costa,5111238
Croatia,4058165
Cuba,11193470
Cura,156223
Cyprus,875900
Czech,10699142
Denmark,5825337
Djibouti,962452
Dominica,71808
Dominican,10448499
DR,91994000
East,1299412
Ecuador,17583812
Egypt,101015581
El,6765753
Equatorial,1454789
Eritrea,3546000
Estonia,1328976
Eswatini,1093238
Ethiopia,100829000
F,104650
Falkland,3198
Faroe,52816
Fiji,889327
Finland,5502259
France,67132000
French,278400
Gabon,2176766
Gambia,2335504
Georgia,3716858
Germany,83122889
Ghana,30955202
Gibraltar,33691
Greece,10724599
Greenland,56367
Grenada,112003
Guam,172400
Guatemala,16858333
Guernsey,63276
Guinea,12559623
Guinea,1624945
Guyana,744962
Haiti,11743017
Honduras,9304380
Hong,7509200
Hungary,9769526
Iceland,366700
India,1368105700
Indonesia,269603400
Iran,83843965
Iraq,40150200
Ireland,4977400
Isle,83314
Israel,9259700
Italy,60062012
Ivory,26453542
Jamaica,2726667
Japan,125810000
Jersey,107800
Jordan,10785508
Kazakhstan,18790280
Kenya,47564296
Kiribati,120100
Kosovo,1782115
Kuwait,4464521
Kyrgyzstan,6586600
land,30074
Laos,7231210
Latvia,1899200
Lebanon,6825442
Lesotho,2007201
Liberia,4568298
Libya,6871287
Liechtenstein,38749
Lithuania,2795459
Luxembourg,626108
Macau,685400
Madagascar,26251309
Malawi,19129952
Malaysia,32693560
Maldives,383135
Mali,20250833
Malta,514564
Marshall,55500
Mauritania,4173077
Mauritius,1266000
Mexico,127792286
Moldova,2640438
Monaco,38100
Mongolia,3341404
Montenegro,621873
Montserrat,4989
Morocco,36037991
Mozambique,30066648
Myanmar,54817919
Namibia,2504498
Nauru,11000
Nepal,29996478
Netherlands,17516831
New,5092339
New,271407
Nicaragua,6527691
Niger,23196002
Nigeria,206139587
Niue,1784
Norfolk,1735
North,25550000
North,2076255
Northern,351965
Northern,56200
Norway,5374807
Oman,4480333
Pakistan,220892331
Palau,17900
Palestine,5101152
Panama,4278500
Papua,8935000
Paraguay,7252672
Peru,32625948
Philippines,109262346
Pitcairn,50
Poland,38353000
Portugal,10295909
Puerto,3193694
Qatar,2723624
Republic,148800
Romania,19317984
Russia,146748590
Rwanda,12663116
S,210240
Saint,178696
Saint,110696
Saint,52823
Saint,35334
Saint,9961
Saint,5997
Saint,5633
Samoa,202506
San,33630
Saudi,34218169
Senegal,16705608
Serbia,6926705
Seychelles,98462
Sierra,8100318
Singapore,5685807
Sint,40614
Slovakia,5460136
Slovenia,2097195
Solomon,694619
Somalia,15893219
South,59622350
South,51841786
South,13249924
South,53532
Spain,47329981
Sri,21803000
Sudan,42888520
Suriname,590100
Sweden,10367232
Switzerland,8632703
Syria,17500657
Taiwan,23574334
Tajikistan,9313800
Tanzania,57637628
Thailand,66561455
Togo,7706000
Tokelau,1499
Tonga,100651
Transnistria,469000
Trinidad,1363985
Tunisia,11708370
Turkey,83154997
Turkmenistan,6031187
Turks,42953
Tuvalu,10507
U,104578
Uganda,41583600
Ukraine,41743935
United,330431576
United,66796807
United,9366829
Uruguay,3530912
Uzbekistan,34453250
Vanuatu,304500
Vatican,825
Venezuela,28435943
Vietnam,96484000
Wallis,11558
Western,597000
Yemen,29825968
Zambia,17885422
Zimbabwe,15473818
